time:2025-06-11 16:12:09, type:DOWN, key:bonzinho
time:2025-06-12 09:14:21, type:TEST, key:bonzinho, c:0
time:2025-06-12 09:14:21, type:SIZE, key:bonzinho, att:1, lines:5
time:2025-06-12 09:14:43, type:TEST, key:bonzinho, c:0, e:0, att:1, lines:5
time:2025-06-12 09:17:05, type:TEST, key:bonzinho, c:0, e:2, att:1, lines:5
time:2025-06-12 09:18:51, type:TEST, key:bonzinho, c:0, e:4, att:1, lines:5
time:2025-06-12 09:18:51, type:SIZE, key:bonzinho, e:4, att:2, lines:26
time:2025-06-12 09:19:17, type:TEST, key:bonzinho, c:0, e:4, att:2, lines:26
time:2025-06-12 09:21:13, type:TEST, key:bonzinho, c:100, e:6, att:2, lines:26
time:2025-06-12 09:21:13, type:SIZE, key:bonzinho, e:6, att:3, lines:26
time:2025-06-12 09:21:29, type:TEST, key:bonzinho, c:100, e:7, att:3, lines:26
time:2025-06-12 09:32:56, type:TEST, key:bonzinho, c:100, e:18, att:3, lines:26
time:2025-06-12 09:33:02, type:TEST, key:bonzinho, c:100, e:18, att:3, lines:26
time:2025-06-12 12:49:18, type:TEST, key:bonzinho, c:100, e:18, att:3, lines:26
time:2025-06-12 12:49:44, type:TEST, key:bonzinho, c:100, e:19, att:3, lines:26
time:2025-06-12 12:51:58, type:TEST, key:bonzinho, c:100, e:21, att:3, lines:26
time:2025-06-12 12:53:05, type:TEST, key:bonzinho, c:100, e:22, att:3, lines:26
time:2025-06-12 12:55:23, type:TEST, key:bonzinho, c:100, e:24, att:3, lines:26
time:2025-06-12 12:57:50, type:TEST, key:bonzinho, c:100, e:27, att:3, lines:26
time:2025-06-12 12:58:06, type:TEST, key:bonzinho, c:100, e:27, att:3, lines:26
time:2025-06-12 12:58:23, type:TEST, key:bonzinho, c:100, e:27, att:3, lines:26
time:2025-06-12 12:59:24, type:TEST, key:bonzinho, c:100, e:28, att:3, lines:26
time:2025-06-12 13:00:49, type:TEST, key:bonzinho, c:100, e:30, att:3, lines:26
time:2025-06-12 13:04:56, type:TEST, key:bonzinho, c:100, e:34, att:3, lines:26
