time:2025-06-11 16:12:11, type:DOWN, key:casais
time:2025-06-11 16:12:12, type:PICK, key:casais, e:0
time:2025-06-11 16:12:13, type:BACK, key:casais, e:0
time:2025-06-12 09:14:21, type:TEST, key:casais, c:0, e:0
time:2025-06-12 09:14:21, type:SIZE, key:casais, e:0, att:1, lines:5
time:2025-06-12 09:14:44, type:TEST, key:casais, c:0, e:0, att:1, lines:5
time:2025-06-12 09:17:06, type:TEST, key:casais, c:0, e:2, att:1, lines:5
time:2025-06-12 09:17:33, type:TEST, key:casais, c:0, e:3, att:1, lines:5
time:2025-06-12 09:18:51, type:TEST, key:casais, c:0, e:4, att:1, lines:5
time:2025-06-12 09:21:30, type:TEST, key:casais, c:0, e:7, att:1, lines:5
time:2025-06-12 12:49:19, type:TEST, key:casais, c:0, e:7, att:1, lines:5
time:2025-06-12 12:49:45, type:TEST, key:casais, c:0, e:7, att:1, lines:5
time:2025-06-12 12:51:58, type:TEST, key:casais, c:0, e:9, att:1, lines:5
time:2025-06-12 12:53:05, type:TEST, key:casais, c:0, e:10, att:1, lines:5
time:2025-06-12 12:55:24, type:TEST, key:casais, c:0, e:13, att:1, lines:5
time:2025-06-12 12:57:50, type:TEST, key:casais, c:0, e:15, att:1, lines:5
time:2025-06-12 12:58:07, type:TEST, key:casais, c:0, e:15, att:1, lines:5
time:2025-06-12 12:58:24, type:TEST, key:casais, c:0, e:16, att:1, lines:5
time:2025-06-12 12:59:25, type:TEST, key:casais, c:0, e:17, att:1, lines:5
time:2025-06-12 13:00:49, type:TEST, key:casais, c:0, e:18, att:1, lines:5
time:2025-06-12 13:05:01, type:TEST, key:casais, c:0, e:22, att:1, lines:5
time:2025-06-12 13:06:22, type:TEST, key:casais, c:0, e:24, att:1, lines:5
