time:2025-06-11 16:12:07, type:DOWN, key:data
time:2025-06-11 16:12:20, type:PICK, key:data, e:0
time:2025-06-11 16:12:23, type:BACK, key:data, e:0
time:2025-06-11 16:13:03, type:SELF, key:data, c:0, a:6, s:5, clear:0, fun:0, easy:0, e:0
time:2025-06-12 09:14:20, type:TEST, key:data, c:0, e:0
time:2025-06-12 09:14:20, type:SIZE, key:data, e:0, att:1, lines:5
time:2025-06-12 09:14:43, type:TEST, key:data, c:0, e:1, att:1, lines:5
time:2025-06-12 09:17:04, type:TEST, key:data, c:0, e:3, att:1, lines:5
time:2025-06-12 09:17:32, type:TEST, key:data, c:0, e:4, att:1, lines:5
time:2025-06-12 09:18:50, type:TEST, key:data, c:0, e:5, att:1, lines:5
time:2025-06-12 09:21:29, type:TEST, key:data, c:0, e:8, att:1, lines:5
time:2025-06-12 12:49:17, type:TEST, key:data, c:0, e:8, att:1, lines:5
time:2025-06-12 12:49:44, type:TEST, key:data, c:0, e:8, att:1, lines:5
time:2025-06-12 12:51:57, type:TEST, key:data, c:0, e:10, att:1, lines:5
time:2025-06-12 12:53:04, type:TEST, key:data, c:0, e:11, att:1, lines:5
time:2025-06-12 12:55:22, type:TEST, key:data, c:0, e:14, att:1, lines:5
time:2025-06-12 12:57:49, type:TEST, key:data, c:0, e:16, att:1, lines:5
time:2025-06-12 12:58:06, type:TEST, key:data, c:0, e:16, att:1, lines:5
time:2025-06-12 12:58:22, type:TEST, key:data, c:0, e:17, att:1, lines:5
time:2025-06-12 12:59:23, type:TEST, key:data, c:0, e:18, att:1, lines:5
time:2025-06-12 13:00:48, type:TEST, key:data, c:0, e:19, att:1, lines:5
