time:2025-05-29 04:41:52, type:DOWN, key:traficantes
time:2025-05-29 04:46:11, type:TEST, key:traficantes, c:0, e:4
time:2025-05-29 04:47:21, type:TEST, key:traficantes, c:0, e:5
time:2025-05-29 04:49:25, type:TEST, key:traficantes, c:0, e:7
time:2025-05-29 14:21:01, type:TEST, key:traficantes, c:0, e:7
time:2025-05-29 16:01:10, type:TEST, key:traficantes, c:0, e:7
time:2025-05-29 16:01:30, type:TEST, key:traficantes, c:0, e:7
time:2025-05-29 16:02:20, type:TEST, key:traficantes, c:0, e:8
time:2025-05-29 16:03:00, type:TEST, key:traficantes, c:0, e:9
time:2025-05-29 16:11:57, type:TEST, key:traficantes, c:0, e:18
time:2025-05-29 16:12:21, type:TEST, key:traficantes, c:0, e:18
time:2025-05-29 16:16:03, type:TEST, key:traficantes, c:0, e:22
time:2025-05-29 16:18:12, type:TEST, key:traficantes, c:0, e:24
time:2025-05-29 16:19:34, type:TEST, key:traficantes, c:0, e:25
time:2025-05-29 16:41:02, type:TEST, key:traficantes, c:0, e:47
time:2025-05-29 16:41:26, type:TEST, key:traficantes, c:0, e:47
time:2025-05-29 16:43:11, type:TEST, key:traficantes, c:0, e:49
time:2025-05-29 16:44:30, type:TEST, key:traficantes, c:0, e:50
time:2025-05-29 16:44:44, type:TEST, key:traficantes, c:0, e:51
time:2025-05-29 16:45:00, type:TEST, key:traficantes, c:0, e:51
time:2025-05-29 16:45:39, type:TEST, key:traficantes, c:0, e:52
time:2025-05-29 16:45:52, type:TEST, key:traficantes, c:0, e:52
time:2025-05-29 16:48:26, type:TEST, key:traficantes, c:0, e:54
time:2025-05-29 16:48:49, type:TEST, key:traficantes, c:0, e:55
time:2025-05-29 19:21:40, type:TEST, key:traficantes, c:0, e:55
time:2025-05-29 16:36:49, type:TEST, key:traficantes, c:0, e:55
time:2025-05-30 20:41:29, type:TEST, key:traficantes, c:0, e:55
time:2025-06-02 09:19:53, type:TEST, key:traficantes, c:0, e:55
time:2025-06-02 09:22:15, type:TEST, key:traficantes, c:0, e:57
time:2025-06-02 09:33:01, type:TEST, key:traficantes, c:0, e:68
time:2025-06-02 09:34:14, type:TEST, key:traficantes, c:0, e:69
time:2025-06-02 10:51:42, type:TEST, key:traficantes, c:0, e:69
time:2025-06-02 10:52:35, type:TEST, key:traficantes, c:0, e:70
time:2025-06-02 10:53:31, type:TEST, key:traficantes, c:0, e:71
time:2025-06-02 10:54:03, type:TEST, key:traficantes, c:0, e:71
time:2025-06-02 10:55:54, type:TEST, key:traficantes, c:0, e:73
time:2025-06-02 10:58:22, type:TEST, key:traficantes, c:0, e:76
time:2025-06-02 11:11:29, type:TEST, key:traficantes, c:0, e:89
time:2025-06-02 11:18:19, type:TEST, key:traficantes, c:0, e:96
time:2025-06-02 16:40:02, type:TEST, key:traficantes, c:0, e:96
time:2025-06-02 16:48:01, type:TEST, key:traficantes, c:0, e:104
time:2025-06-02 16:54:31, type:TEST, key:traficantes, c:0, e:110
time:2025-06-02 17:51:42, type:TEST, key:traficantes, c:0, e:167
time:2025-06-02 17:52:06, type:TEST, key:traficantes, c:0, e:168
time:2025-06-02 17:55:00, type:TEST, key:traficantes, c:0, e:171
time:2025-06-02 17:55:52, type:TEST, key:traficantes, c:0, e:172
time:2025-06-02 17:56:13, type:TEST, key:traficantes, c:0, e:172
time:2025-06-02 17:56:38, type:TEST, key:traficantes, c:0, e:172
time:2025-06-02 18:06:58, type:TEST, key:traficantes, c:0, e:183
time:2025-06-02 18:08:07, type:TEST, key:traficantes, c:0, e:184
time:2025-06-02 18:12:15, type:TEST, key:traficantes, c:0, e:188
time:2025-06-02 18:13:03, type:TEST, key:traficantes, c:0, e:189
time:2025-06-02 18:13:21, type:TEST, key:traficantes, c:0, e:189
time:2025-06-02 18:15:22, type:TEST, key:traficantes, c:0, e:191
time:2025-06-02 18:15:47, type:TEST, key:traficantes, c:0, e:191
time:2025-06-02 18:18:35, type:TEST, key:traficantes, c:0, e:194
time:2025-06-02 18:19:24, type:TEST, key:traficantes, c:0, e:195
time:2025-06-02 18:22:27, type:TEST, key:traficantes, c:0, e:198
time:2025-06-02 18:23:07, type:TEST, key:traficantes, c:0, e:199
time:2025-06-02 18:25:30, type:TEST, key:traficantes, c:0, e:201
time:2025-06-02 18:26:00, type:TEST, key:traficantes, c:0, e:202
time:2025-06-02 18:31:08, type:TEST, key:traficantes, c:0, e:207
time:2025-06-02 18:31:54, type:TEST, key:traficantes, c:0, e:208
