Student,data,bonzinho,lotado,casais,parkour,Total
yuri865,0%,0%,0%,0%,0%,0%
senapk,0%,0%,0%,0%,0%,0%
botelhovbl,0%,0%,0%,0%,0%,0%
botelhocpp,0%,0%,0%,0%,0%,0%
zBcxz,"min:17, lines:45, att:6, 100%","min:39, lines:24, att:11, 100%","min:69, lines:24, att:13, 100%","min:9, lines:27, att:1, 100%","min:3, lines:20, att:1, 100%",99%
v1n1-03,"min:28, lines:9, att:5, 100%","min:50, lines:21, att:3, 100%","min:70, lines:23, att:7, 100%","min:12, lines:22, att:24, 100%","min:32, lines:19, att:36, 100%",99%
tiago-ufc,"min:35, lines:17, att:4, 100%","min:35, lines:24, att:16, 100%","min:48, lines:23, att:8, 100%","min:61, lines:36, att:5, 0%","min:7, lines:27, att:1, 100%",72%
SuRaquel05,"min:74, lines:44, att:3, 100%","min:75, lines:12, att:2, 0%","min:0, lines:-1, att:0, 0%","min:0, lines:-1, att:0, 0%","min:0, lines:-1, att:0, 0%",9%
spacercoding,"min:7, lines:16, att:10, 100%","min:19, lines:25, att:6, 100%","min:36, lines:19, att:24, 100%","min:54, lines:25, att:16, 100%","min:61, lines:21, att:1, 100%",99%
ryanlbpimentel,"min:4, lines:11, att:4, 100%","min:36, lines:26, att:7, 100%","min:9, lines:26, att:7, 100%","min:7, lines:26, att:6, 100%","min:5, lines:31, att:3, 100%",99%
ryanlbb,"min:18, lines:13, att:17, 0%","min:6, lines:25, att:11, 100%","min:60, lines:28, att:24, 100%","min:60, lines:22, att:12, 100%","min:0, lines:19, att:1, 100%",90%
pepe123uyt,"min:11, lines:10, att:4, 100%","min:45, lines:38, att:20, 100%","min:22, lines:25, att:13, 100%","min:62, lines:13, att:2, 0%",0%,45%
PedroHenriqueVidal,"min:10, lines:16, att:2, 100%","min:22, lines:40, att:18, 100%","min:9, lines:26, att:2, 100%","min:19, lines:38, att:15, 100%","min:18, lines:33, att:20, 100%",99%
Nycolas6002,"min:73, lines:21, att:3, 100%","min:49, lines:50, att:2, 100%","min:18, lines:31, att:6, 100%","min:23, lines:37, att:13, 100%","min:88, lines:29, att:9, 100%",99%
Nayyra,"min:49, lines:50, att:51, 100%","min:20, lines:33, att:9, 100%","min:16, lines:26, att:11, 0%",0%,0%,27%
Matheus-Mendes72,"min:19, lines:34, att:11, 100%","min:41, lines:33, att:24, 100%","min:14, lines:24, att:11, 100%","min:19, lines:27, att:11, 100%","min:3, lines:-1, att:0, 0%",72%
Luiszszz,"min:2, lines:14, att:2, 100%","min:13, lines:46, att:12, 100%","min:14, lines:36, att:21, 100%","min:10, lines:44, att:2, 100%","min:3, lines:38, att:1, 100%",99%
Luismbelo79,"min:21, lines:14, att:5, 100%","min:17, lines:29, att:4, 100%","min:4, lines:37, att:2, 100%","min:47, lines:32, att:5, 100%","min:10, lines:24, att:2, 100%",99%
Lucas-Olii,"min:57, lines:39, att:88, 100%","min:23, lines:46, att:20, 100%","min:59, lines:31, att:72, 100%","min:63, lines:43, att:2, 100%","min:11, lines:27, att:5, 100%",99%
Lazzure-ufc,"min:16, lines:12, att:5, 100%","min:27, lines:25, att:3, 100%","min:28, lines:21, att:1, 100%","min:29, lines:31, att:1, 100%","min:29, lines:26, att:1, 100%",99%
KauaDev20,"min:11, lines:12, att:9, 100%","min:28, lines:31, att:9, 100%","min:53, lines:39, att:19, 100%","min:53, lines:38, att:1, 100%","min:55, lines:57, att:1, 100%",99%
joseluis1100,"min:33, lines:7, att:2, 100%","min:10, lines:16, att:3, 100%","min:18, lines:25, att:5, 100%","min:25, lines:32, att:4, 100%","min:29, lines:18, att:1, 100%",99%
Glaubel,"min:26, lines:12, att:7, 100%","min:67, lines:33, att:3, 100%","min:92, lines:25, att:12, 100%","min:5, lines:-1, att:0, 0%","min:0, lines:-1, att:0, 0%",45%
felipeufc2025,"min:84, lines:14, att:24, 100%","min:78, lines:19, att:24, 100%","min:63, lines:24, att:7, 100%","min:59, lines:5, att:1, 0%","min:64, lines:5, att:1, 0%",45%
devjoaoluis,"min:3, lines:7, att:2, 100%","min:37, lines:77, att:3, 100%","min:8, lines:25, att:7, 100%","min:47, lines:74, att:18, 100%","min:37, lines:23, att:1, 100%",99%
ceci097,"min:58, lines:11, att:5, 0%","min:22, lines:22, att:13, 0%","min:24, lines:22, att:6, 0%","min:0, lines:-1, att:0, 0%",0%,0%
CamilaS-coder,"min:15, lines:35, att:19, 100%","min:20, lines:22, att:6, 0%","min:59, lines:26, att:46, 100%","min:3, lines:23, att:3, 100%",0%,54%
