Student           ,                        data,                    bonzinho,                      lotado,                      casais,                     parkour,Total
yuri865           ,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,   0%
senapk            ,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,   0%
botelhovbl        ,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,   0%
botelhocpp        ,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,   0%
zBcxz             ,min:017 len:045 att:006 100%,min:039 len:024 att:011 100%,min:069 len:024 att:013 100%,min:009 len:027 att:001 100%,min:003 len:020 att:001 100%, 100%
v1n1-03           ,min:028 len:009 att:005 100%,min:050 len:021 att:003 100%,min:070 len:023 att:007 100%,min:012 len:022 att:024 100%,min:032 len:019 att:036 100%, 100%
tiago-ufc         ,min:035 len:017 att:004 100%,min:035 len:024 att:016 100%,min:048 len:023 att:008 100%,min:061 len:036 att:005   0%,min:007 len:027 att:001 100%,  72%
SuRaquel05        ,min:074 len:044 att:003 100%,min:075 len:012 att:002   0%,min:    len:    att:      0%,min:    len:    att:      0%,min:    len:    att:      0%,   9%
spacercoding      ,min:007 len:016 att:010 100%,min:019 len:025 att:006 100%,min:036 len:019 att:024 100%,min:054 len:025 att:016 100%,min:061 len:021 att:001 100%, 100%
ryanlbpimentel    ,min:004 len:011 att:004 100%,min:036 len:026 att:007 100%,min:009 len:026 att:007 100%,min:007 len:026 att:006 100%,min:005 len:031 att:003 100%, 100%
ryanlbb           ,min:018 len:013 att:017   0%,min:006 len:025 att:011 100%,min:060 len:028 att:024 100%,min:060 len:022 att:012 100%,min:    len:019 att:001 100%,  90%
pepe123uyt        ,min:011 len:010 att:004 100%,min:045 len:038 att:020 100%,min:022 len:025 att:013 100%,min:062 len:013 att:002   0%,min:    len:    att:      0%,  45%
PedroHenriqueVidal,min:010 len:016 att:002 100%,min:022 len:040 att:018 100%,min:009 len:026 att:002 100%,min:019 len:038 att:015 100%,min:018 len:033 att:020 100%, 100%
Nycolas6002       ,min:073 len:021 att:003 100%,min:049 len:050 att:002 100%,min:018 len:031 att:006 100%,min:023 len:037 att:013 100%,min:088 len:029 att:009 100%, 100%
Nayyra            ,min:049 len:050 att:051 100%,min:020 len:033 att:009 100%,min:016 len:026 att:011   0%,min:    len:    att:      0%,min:    len:    att:      0%,  27%
Matheus-Mendes72  ,min:019 len:034 att:011 100%,min:041 len:033 att:024 100%,min:014 len:024 att:011 100%,min:019 len:027 att:011 100%,min:003 len:    att:      0%,  72%
Luiszszz          ,min:002 len:014 att:002 100%,min:013 len:046 att:012 100%,min:014 len:036 att:021 100%,min:010 len:044 att:002 100%,min:003 len:038 att:001 100%, 100%
Luismbelo79       ,min:021 len:014 att:005 100%,min:017 len:029 att:004 100%,min:004 len:037 att:002 100%,min:047 len:032 att:005 100%,min:010 len:024 att:002 100%, 100%
Lucas-Olii        ,min:057 len:039 att:088 100%,min:023 len:046 att:020 100%,min:059 len:031 att:072 100%,min:063 len:043 att:002 100%,min:011 len:027 att:005 100%, 100%
Lazzure-ufc       ,min:016 len:012 att:005 100%,min:027 len:025 att:003 100%,min:028 len:021 att:001 100%,min:029 len:031 att:001 100%,min:029 len:026 att:001 100%, 100%
KauaDev20         ,min:011 len:012 att:009 100%,min:028 len:031 att:009 100%,min:053 len:039 att:019 100%,min:053 len:038 att:001 100%,min:055 len:057 att:001 100%, 100%
joseluis1100      ,min:033 len:007 att:002 100%,min:010 len:016 att:003 100%,min:018 len:025 att:005 100%,min:025 len:032 att:004 100%,min:029 len:018 att:001 100%, 100%
Glaubel           ,min:026 len:012 att:007 100%,min:067 len:033 att:003 100%,min:092 len:025 att:012 100%,min:005 len:    att:      0%,min:    len:    att:      0%,  45%
felipeufc2025     ,min:084 len:014 att:024 100%,min:078 len:019 att:024 100%,min:063 len:024 att:007 100%,min:059 len:005 att:001   0%,min:064 len:005 att:001   0%,  45%
devjoaoluis       ,min:003 len:007 att:002 100%,min:037 len:077 att:003 100%,min:008 len:025 att:007 100%,min:047 len:074 att:018 100%,min:037 len:023 att:001 100%, 100%
ceci097           ,min:058 len:011 att:005   0%,min:022 len:022 att:013   0%,min:024 len:022 att:006   0%,min:    len:    att:      0%,min:    len:    att:      0%,   0%
CamilaS-coder     ,min:015 len:035 att:019 100%,min:020 len:022 att:006   0%,min:059 len:026 att:046 100%,min:003 len:023 att:003 100%,min:    len:    att:      0%,  54%
